candidate_id,rank,score,reasoning
CAND_0081321,1,0.641,Good semantic match (46.5/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0092255,2,0.633,Good semantic match (52.1/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0039983,3,0.626,Good semantic match (44.9/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0080372,4,0.616,Good semantic match (45.4/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0086154,5,0.615,Good semantic match (53.1/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0003791,6,0.615,Good semantic match (49.3/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0010257,7,0.612,Good semantic match (48.1/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0067535,8,0.606,Good semantic match (46.8/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0032089,9,0.598,Good semantic match (51.9/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0061819,10,0.596,Good semantic match (42.9/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0013393,11,0.594,Good semantic match (44.8/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0003609,12,0.593,Good semantic match (48.0/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0025109,13,0.593,Good semantic match (47.7/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0055139,14,0.593,Relevant professional experience.; Possesses several required skills.; Strong recruiter engagement and profile quality.
CAND_0011297,15,0.593,Good semantic match (46.2/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0005324,16,0.592,Good semantic match (49.2/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0087766,17,0.587,Good semantic match (47.4/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0055974,18,0.586,Good semantic match (43.0/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0008978,19,0.585,Good semantic match (50.4/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0086801,20,0.585,Good semantic match (50.2/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0034164,21,0.583,Good semantic match (56.4/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0083307,22,0.582,Relevant professional experience.; Possesses several required skills.; Strong recruiter engagement and profile quality.
CAND_0080124,23,0.581,Good semantic match (60.2/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0058412,24,0.581,Good semantic match (40.0/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0050876,25,0.58,Relevant professional experience.; Possesses several required skills.; Strong recruiter engagement and profile quality.
CAND_0035825,26,0.58,Relevant professional experience.; Possesses several required skills.; Strong recruiter engagement and profile quality.
CAND_0037417,27,0.578,Good semantic match (55.4/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0042690,28,0.578,Good semantic match (46.0/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0031143,29,0.578,Good semantic match (51.8/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0059795,30,0.578,Good semantic match (48.0/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0029971,31,0.578,Good semantic match (50.0/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0032179,32,0.577,Good semantic match (46.7/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0017648,33,0.577,Good semantic match (41.0/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0074326,34,0.577,Good semantic match (51.3/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0068777,35,0.577,Good semantic match (50.9/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0088385,36,0.576,Relevant professional experience.; Possesses several required skills.; Strong recruiter engagement and profile quality.
CAND_0096823,37,0.576,Good semantic match (52.4/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0039754,38,0.576,Relevant professional experience.; Possesses several required skills.; Strong recruiter engagement and profile quality.
CAND_0048469,39,0.576,Good semantic match (44.5/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0040178,40,0.576,Good semantic match (52.3/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0026610,41,0.576,Good semantic match (40.4/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0054703,42,0.576,Good semantic match (46.7/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0057563,43,0.575,Relevant professional experience.; Possesses several required skills.; Strong recruiter engagement and profile quality.
CAND_0062425,44,0.574,Good semantic match (47.3/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0022614,45,0.574,Good semantic match (49.4/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0055992,46,0.574,Relevant professional experience.; Possesses several required skills.; Strong recruiter engagement and profile quality.
CAND_0001610,47,0.574,Good semantic match (41.6/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0031703,48,0.573,Good semantic match (47.0/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0007052,49,0.572,Good semantic match (47.7/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0052333,50,0.572,Good semantic match (52.8/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0077337,51,0.572,Relevant professional experience.; Possesses several required skills.; Strong recruiter engagement and profile quality.
CAND_0097357,52,0.572,Good semantic match (47.6/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0044262,53,0.57,Good semantic match (47.6/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0012501,54,0.568,Good semantic match (45.3/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0076970,55,0.568,Good semantic match (46.0/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0029496,56,0.568,Good semantic match (67.0/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0021808,57,0.567,Good semantic match (50.3/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0075915,58,0.567,Good semantic match (53.8/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0049540,59,0.567,Good semantic match (46.8/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0005509,60,0.567,Good semantic match (43.1/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0061795,61,0.567,Good semantic match (48.7/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0032271,62,0.566,Good semantic match (50.9/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0010149,63,0.566,Good semantic match (46.0/100) with the job description.; Relevant professional experience.; Strong recruiter engagement and profile quality.
CAND_0094025,64,0.566,Good semantic match (51.9/100) with the job description.; Relevant professional experience.; Strong recruiter engagement and profile quality.
CAND_0063171,65,0.565,Good semantic match (52.1/100) with the job description.; Relevant professional experience.; Strong recruiter engagement and profile quality.
CAND_0064326,66,0.565,Relevant professional experience.; Possesses several required skills.; Strong recruiter engagement and profile quality.
CAND_0088878,67,0.565,Good semantic match (45.2/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0055571,68,0.564,Good semantic match (51.2/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0075522,69,0.563,Good semantic match (46.0/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0092568,70,0.563,Relevant professional experience.; Possesses several required skills.; Strong recruiter engagement and profile quality.
CAND_0023650,71,0.563,Good semantic match (56.7/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0044091,72,0.563,Good semantic match (49.6/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0042593,73,0.562,Good semantic match (45.9/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0011327,74,0.562,Good semantic match (51.0/100) with the job description.; Relevant professional experience.; Strong recruiter engagement and profile quality.
CAND_0075529,75,0.562,Good semantic match (44.2/100) with the job description.; Relevant professional experience.; Possesses several required skills.
